index,tpeak,tpeaks_norm,ampls,unnorm_ampls,fwhms,fixed_tpeaks,fixed_fwhms,left_bases,right_bases
0,2905.8267403015925,-16.018608587077324,1.4589952230453491,0.002151832915842533,0.002777777777777778,2905.8267403015925,4933.966328795025,2905.7450112938313,2905.9084695005004
1,2907.134405101053,-14.710943787616998,6.983270645141602,0.01029943861067295,0.009722222222222222,2907.154837340393,2434.243102938752,2907.0731083788487,2907.216134056078
3,2907.4408886366364,-14.40446025203346,1.4512819051742554,0.002140456810593605,0.002777777777777778,2907.4408886366364,2043.7302212973939,2907.400024172399,2907.5021853285725
6,2909.5045414204287,-12.34080746824111,3.1455678939819336,0.00463931355625391,0.009722222222222222,2909.5249736964397,3474.035793758342,2909.422812710807,2909.586270221669
7,2909.7497274980633,-12.095621390606539,1.6898448467254639,0.0024923067539930344,0.002777777777777778,2909.7497274980633,2767.6617989185183,2909.6884309858724,2909.8314562732266
8,2911.3842996858875,-10.461049202782306,1.5988565683364868,0.002358110621571541,0.002777777777777778,2911.3842996858875,2097.0501954405113,2911.3638674578397,2911.4660280915487
9,2912.365041306184,-9.480307582485693,5.201828956604004,0.0076720379292964935,0.002777777777777778,2912.365041306184,1637.1932197383244,2912.344609103282,2912.4059054101162
10,2913.3662137177234,-8.479135170946392,3.355158567428589,0.004948433488607407,0.002777777777777778,2913.3662137177234,1997.0541160762239,2913.345781639975,2913.4479420240823
11,2913.693126994258,-8.152221894411923,1.6641476154327393,0.0024544065818190575,0.005555555555555556,2913.693126994258,6110.837813945408,2913.6113987121134,2913.7748551680197
12,2914.5512734710646,-7.2940754176052,1.9963949918746948,0.0029444294050335884,0.002777777777777778,2914.5512734710646,2391.655144425817,2914.46954537274,2914.612569614452
13,2914.592137666965,-7.253211221704987,1.869407296180725,0.0027571385726332664,0.004166666666666667,2914.5512734710646,5412.789115020031,2914.5104093728296,2914.6738657531823
16,2916.9009561184575,-4.944392770212289,2.3292555809020996,0.003435356542468071,0.004166666666666667,2916.9009561184575,3675.213312829515,2916.8192281436495,2916.98268418535
17,2919.005449089702,-2.839899798967963,1.3126791715621948,0.001936035230755806,0.004166666666666667,2919.025881134279,3096.7233384938295,2918.9441532531855,2919.0871769656733
18,2919.066744922493,-2.778603966176888,2.389040946960449,0.0035235323011875153,0.004166666666666667,2919.025881134279,5253.329611799098,2918.985017144667,2919.128040751093
19,2920.6400033484097,-1.2053455402601685,1.9779797792434692,0.002917269244790077,0.009722222222222222,2920.6400033484097,1595.3057073602902,2920.558275807947,2920.6604353575894
20,2920.783026802448,-1.062322086221684,1.5481358766555786,0.0022833039984107018,0.002777777777777778,2920.7217310818814,1205.6108815170144,2920.7012990740914,2920.8647544238192
22,2921.1712329419024,-0.6741159467674152,1.6472485065460205,0.002429482527077198,0.002777777777777778,2921.1712329419024,2100.353452344373,2921.1303690449568,2921.2120967369847
23,2921.70246221697,-0.14288667169967084,1.916974425315857,0.002827294170856476,0.004166666666666667,2921.70246221697,4616.870410998504,2921.641166554611,2921.784189760576
25,2923.9091038426704,2.063754954000615,1.6389150619506836,0.0024171918630599976,0.002777777777777778,2923.9091038426704,2399.887949375406,2923.847808315353,2923.9908311069885
26,2924.29730876581,2.4519598771403253,1.462416172027588,0.0021568783558905125,0.002777777777777778,2924.29730876581,2045.5883505771542,2924.2360132613103,2924.3790360998682
28,2926.3404904298804,4.495141541210614,2.1821353435516357,0.003218372818082571,0.002777777777777778,2926.3404904298804,3203.960881725047,2926.2587632452996,2926.422217708401
29,2926.381354019839,4.536005131169077,1.6232807636260986,0.002394133247435093,0.002777777777777778,2926.3404904298804,2848.5691161764266,2926.299626838285,2926.4630811953393
30,2927.8115789324875,5.966230043817632,1.4105452299118042,0.0020803753286600113,0.002777777777777778,2927.8115789324875,2571.5884805360183,2927.7707152942166,2927.893305904843
31,2928.09762366012,6.252274771450175,2.403338670730591,0.0035446195397526026,0.002777777777777778,2928.09762366012,2236.5390109833256,2928.015896602199,2928.179350712213
32,2928.3223730397076,6.477024151037767,1.8735772371292114,0.0027632887940853834,0.002777777777777778,2928.3223730397076,2817.4433207143584,2928.240645997619,2928.3836683174304
